Ligand_Name,Binding_Affinity_kcal_mol,Num_Modes,Best_Affinity,Predicted_Affinity,Name,SMILES,MW,LogP,TPSA,LogS,GI_Absorption,BBB_Permeable,Toxicity_Alerts,Alert_Details,Drug_Score
Nilotinib_Var_16,-9.052,9,-9.052,,Nilotinib_Var_16,Cc1cnn(-c2cc(C)c(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)c(C(F)(F)F)c2)c1,543.5530000000001,6.664260000000004,97.62,-6.497762400000003,Low,False,False,None,0.51
Nilotinib_Var_20,-8.862,9,-8.862,,Nilotinib_Var_20,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)c(C(F)(F)F)c2)c1,529.5260000000002,6.355840000000003,97.62,-6.203291682051286,Low,False,False,None,0.51
Nilotinib_Var_5,-8.844,9,-8.844,,Nilotinib_Var_5,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5ccc(C)nc5)n4)c3)c(C(F)(F)F)c2)c1,543.5530000000002,6.664260000000004,97.62,-6.497762400000004,Low,False,False,None,0.51
Nilotinib_Var_23,-8.737,9,-8.737,,Nilotinib_Var_23,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5ccnnc5)n4)c3)c(C(F)(F)F)c2)c1,530.5140000000001,5.750840000000003,110.51,-5.828267282051285,Low,False,False,None,0.51
Nilotinib_Var_22,-8.583,9,-8.583,,Nilotinib_Var_22,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)n3)c(C(F)(F)F)c2)c1,530.5140000000001,5.750840000000004,110.51,-5.828267282051285,Low,False,False,None,0.51
Nilotinib_Var_7,-8.575,9,-8.575,,Nilotinib_Var_7,Cc1cnn(-c2ccc(C(=O)Nc3cc(Nc4nccc(-c5cccnc5)n4)c(C)cc3C)c(C(F)(F)F)c2)c1,543.5530000000002,6.664260000000004,97.62,-6.497762400000004,Low,False,False,None,0.51
Nilotinib_Var_24,-8.571,9,-8.571,,Nilotinib_Var_24,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nncc(-c5cccnc5)n4)c3)c(C(F)(F)F)c2)c1,530.5140000000001,5.750840000000003,110.51,-5.828267282051285,Low,False,False,None,0.51
Nilotinib_Var_4,-8.564,9,-8.564,,Nilotinib_Var_4,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cnccc5C)n4)c3)c(C(F)(F)F)c2)c1,543.5530000000002,6.664260000000003,97.62,-6.497762400000003,Low,False,False,None,0.51
Nilotinib_Var_10,-8.54,9,-8.54,,Nilotinib_Var_10,Cc1ccc(NC(=O)c2ccc(-n3ncc(C)c3C)cc2C(F)(F)F)cc1Nc1nccc(-c2cccnc2)n1,543.5530000000001,6.664260000000005,97.62,-6.497762400000004,Low,False,False,None,0.51
Nilotinib_Var_1,-8.492,9,-8.492,,Nilotinib_Var_1,Cc1cnn(-c2ccc(C(=O)Nc3cc(C)c(C)c(Nc4nccc(-c5cccnc5)n4)c3)c(C(F)(F)F)c2)c1,543.5530000000001,6.664260000000004,97.62,-6.497762400000003,Low,False,False,None,0.51
Nilotinib_Var_2,-8.481,9,-8.481,,Nilotinib_Var_2,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4ncc(C)c(-c5cccnc5)n4)c3)c(C(F)(F)F)c2)c1,543.5530000000002,6.664260000000004,97.62,-6.497762400000004,Low,False,False,None,0.51
Nilotinib_Original,-8.435,9,-8.435,,Nilotinib_Original,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4C(F)(F)F)n5cc(cn5)C,529.5260000000001,6.355840000000004,97.62000000000002,-6.203291682051286,Low,False,False,None,0.51
Nilotinib_Var_13,-8.418,9,-8.418,,Nilotinib_Var_13,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nc(C)cc(-c5cccnc5)n4)c3)c(C(F)(F)F)c2)c1,543.5530000000002,6.664260000000004,97.62,-6.497762400000004,Low,False,False,None,0.51
Nilotinib_Var_14,-8.402,9,-8.402,,Nilotinib_Var_14,Cc1cncc(-c2ccnc(Nc3cc(NC(=O)c4ccc(-n5cc(C)cn5)cc4C(F)(F)F)ccc3C)n2)c1,543.5530000000001,6.664260000000004,97.62,-6.497762400000003,Low,False,False,None,0.51
Nilotinib_Var_3,-8.399,9,-8.399,,Nilotinib_Var_3,Cc1ccc(NC(=O)c2ccc(-n3cc(C)c(C)n3)cc2C(F)(F)F)cc1Nc1nccc(-c2cccnc2)n1,543.5530000000001,6.664260000000005,97.62,-6.497762400000004,Low,False,False,None,0.51
Nilotinib_Var_9,-8.345,9,-8.345,,Nilotinib_Var_9,Cc1cnn(-c2cc(C(F)(F)F)c(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc2C)c1,543.5530000000001,6.664260000000005,97.62,-6.497762400000004,Low,False,False,None,0.51
Nilotinib_Var_8,-8.335,9,-8.335,,Nilotinib_Var_8,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5C)n4)c3)c(C(F)(F)F)c2)c1,543.5530000000002,6.664260000000004,97.62,-6.497762400000004,Low,False,False,None,0.51
Nilotinib_Var_19,-8.317,9,-8.317,,Nilotinib_Var_19,Brc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4C(F)(F)F)n5cc(cn5)C,594.395,6.809920000000005,97.62000000000002,-6.891549882051286,Low,False,False,None,0.51
Nilotinib_Var_11,-8.31,9,-8.31,,Nilotinib_Var_11,CCc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)c(C(F)(F)F)c2)c1,543.5530000000001,6.6098200000000045,97.62,-6.397465200000003,Low,False,False,None,0.51
Nilotinib_Var_18,-8.25,9,-8.25,,Nilotinib_Var_18,Fc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4C(F)(F)F)n5cc(cn5)C,533.4890000000001,6.186520000000004,97.62000000000002,-6.121190682051286,Low,False,False,None,0.51
Nilotinib_Var_12,-8.207,9,-8.207,,Nilotinib_Var_12,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3C)c(C(F)(F)F)c2)c1,543.5530000000002,6.664260000000004,97.62,-6.497762400000004,Low,False,False,None,0.51
Nilotinib_Var_21,-8.207,9,-8.207,,Nilotinib_Var_21,Cc1ccc(NC(=O)c2ccc(-n3cc(O)cn3)cc2C(F)(F)F)cc1Nc1nccc(-c2cccnc2)n1,531.4980000000002,5.753020000000004,117.85000000000001,-5.835741482051286,Low,False,False,None,0.51
Nilotinib_Var_15,-8.205,9,-8.205,,Nilotinib_Var_15,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)c(C(F)(F)F)c2C)c1,543.5530000000001,6.664260000000004,97.62,-6.497762400000003,Low,False,False,None,0.51
Nilotinib_Var_6,-8.174,9,-8.174,,Nilotinib_Var_6,CCc1ccc(NC(=O)c2ccc(-n3cc(C)cn3)cc2C(F)(F)F)cc1Nc1nccc(-c2cccnc2)n1,543.5530000000001,6.6098200000000045,97.62,-6.397465200000003,Low,False,False,None,0.51
Nilotinib_Var_17,-8.111,9,-8.111,,Nilotinib_Var_17,Clc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4C(F)(F)F)n5cc(cn5)C,549.9440000000001,6.7008200000000055,97.62000000000002,-6.547220682051287,Low,False,False,None,0.51
