Name,SMILES,Variant_Type,Parent_Drug,QED,Lipinski,MW,LogP
Nilotinib_Var_1,Cc1cnn(-c2ccc(C(=O)Nc3cc(C)c(C)c(Nc4nccc(-c5cccnc5)n4)c3)c(C(F)(F)F)c2)c1,methyl_scan,Nilotinib,0.24847875717181273,True,543.5530000000001,6.664260000000004
Nilotinib_Var_2,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4ncc(C)c(-c5cccnc5)n4)c3)c(C(F)(F)F)c2)c1,methyl_scan,Nilotinib,0.24847875717181273,True,543.5530000000002,6.664260000000004
Nilotinib_Var_3,Cc1ccc(NC(=O)c2ccc(-n3cc(C)c(C)n3)cc2C(F)(F)F)cc1Nc1nccc(-c2cccnc2)n1,methyl_scan,Nilotinib,0.24847875717181273,True,543.5530000000001,6.664260000000005
Nilotinib_Var_4,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cnccc5C)n4)c3)c(C(F)(F)F)c2)c1,methyl_scan,Nilotinib,0.24847875717181273,True,543.5530000000002,6.664260000000003
Nilotinib_Var_5,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5ccc(C)nc5)n4)c3)c(C(F)(F)F)c2)c1,methyl_scan,Nilotinib,0.24847875717181273,True,543.5530000000002,6.664260000000004
Nilotinib_Var_6,CCc1ccc(NC(=O)c2ccc(-n3cc(C)cn3)cc2C(F)(F)F)cc1Nc1nccc(-c2cccnc2)n1,methyl_scan,Nilotinib,0.2397946012995833,True,543.5530000000001,6.6098200000000045
Nilotinib_Var_7,Cc1cnn(-c2ccc(C(=O)Nc3cc(Nc4nccc(-c5cccnc5)n4)c(C)cc3C)c(C(F)(F)F)c2)c1,methyl_scan,Nilotinib,0.24847875717181273,True,543.5530000000002,6.664260000000004
Nilotinib_Var_8,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5C)n4)c3)c(C(F)(F)F)c2)c1,methyl_scan,Nilotinib,0.24847875717181273,True,543.5530000000002,6.664260000000004
Nilotinib_Var_9,Cc1cnn(-c2cc(C(F)(F)F)c(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc2C)c1,methyl_scan,Nilotinib,0.24847875717181273,True,543.5530000000001,6.664260000000005
Nilotinib_Var_10,Cc1ccc(NC(=O)c2ccc(-n3ncc(C)c3C)cc2C(F)(F)F)cc1Nc1nccc(-c2cccnc2)n1,methyl_scan,Nilotinib,0.24847875717181273,True,543.5530000000001,6.664260000000005
Nilotinib_Var_11,CCc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)c(C(F)(F)F)c2)c1,methyl_scan,Nilotinib,0.2397946012995833,True,543.5530000000001,6.6098200000000045
Nilotinib_Var_12,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3C)c(C(F)(F)F)c2)c1,methyl_scan,Nilotinib,0.24847875717181273,True,543.5530000000002,6.664260000000004
Nilotinib_Var_13,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nc(C)cc(-c5cccnc5)n4)c3)c(C(F)(F)F)c2)c1,methyl_scan,Nilotinib,0.24847875717181273,True,543.5530000000002,6.664260000000004
Nilotinib_Var_14,Cc1cncc(-c2ccnc(Nc3cc(NC(=O)c4ccc(-n5cc(C)cn5)cc4C(F)(F)F)ccc3C)n2)c1,methyl_scan,Nilotinib,0.24847875717181273,True,543.5530000000001,6.664260000000004
Nilotinib_Var_15,Cc1cnn(-c2ccc(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)c(C(F)(F)F)c2C)c1,methyl_scan,Nilotinib,0.24847875717181273,True,543.5530000000001,6.664260000000004
Nilotinib_Var_16,Cc1cnn(-c2cc(C)c(C(=O)Nc3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)c(C(F)(F)F)c2)c1,methyl_scan,Nilotinib,0.24847875717181273,True,543.5530000000001,6.664260000000004
Nilotinib_Var_17,Clc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4C(F)(F)F)n5cc(cn5)C,bioisostere,Nilotinib,0.24448005629357178,True,549.9440000000001,6.7008200000000055
Nilotinib_Var_18,Fc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4C(F)(F)F)n5cc(cn5)C,bioisostere,Nilotinib,0.25289978229757937,True,533.4890000000001,6.186520000000004
Nilotinib_Var_19,Brc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4C(F)(F)F)n5cc(cn5)C,bioisostere,Nilotinib,0.22432329583167096,True,594.395,6.809920000000005
