Name,SMILES,ChEMBL_ID
MERCAPTOPURINE,O.S=c1[nH]cnc2nc[nH]c12,CHEMBL1200751
FLURPIRIDAZ F 18,CC(C)(C)n1ncc(OCc2ccc(COCC[18F])cc2)c(Cl)c1=O,CHEMBL2107799
THIORIDAZINE HYDROCHLORIDE,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2.Cl,CHEMBL1200916
ABAMETAPIR,Cc1ccc(-c2ccc(C)cn2)nc1,CHEMBL2205807
AMINOREX,NC1=NCC(c2ccccc2)O1,CHEMBL106258
CLOPIDOGREL BISULFATE,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1.O=S(=O)(O)O,CHEMBL1083385
TRANDOLAPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,CHEMBL1519
CALCITRIOL,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,CHEMBL846
TRIFAROTENE,CC(C)(C)c1cc(-c2cc(-c3ccc(C(=O)O)cc3)ccc2OCCO)ccc1N1CCCC1,CHEMBL3707313
CYCLOPHOSPHAMIDE,O.O=P1(N(CCCl)CCCl)NCCCO1,CHEMBL1200796
METHSUXIMIDE,CN1C(=O)CC(C)(c2ccccc2)C1=O,CHEMBL697
ASENAPINE,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,CHEMBL3187365
DIAZOXIDE,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,CHEMBL181
IRBESARTAN,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CHEMBL1513
CLOBENZOREX,CC(Cc1ccccc1)NCc1ccccc1Cl,CHEMBL1213251
PANCURONIUM BROMIDE,CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1[N+]1(C)CCCCC1.[Br-].[Br-],CHEMBL1200757
ONDANSETRON,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,CHEMBL46
DICLOFENAC SODIUM,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],CHEMBL1034
LEVOLEUCOVORIN,Nc1nc(=O)c2c([nH]1)NC[C@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)N2C=O,CHEMBL1908841
RIBOCICLIB SUCCINATE,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1.O=C(O)CCC(=O)O,CHEMBL3707266
ESTRIOL,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,CHEMBL193482
CHENODIOL,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL240597
CHLORPHENTERMINE,CC(C)(N)Cc1ccc(Cl)cc1,CHEMBL1201269
DALBAVANCIN,CN[C@H]1C(=O)N[C@@H]2Cc3ccc(cc3)Oc3cc4cc(c3O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3NC(=O)CCCCCCCCC(C)C)Oc3ccc(cc3Cl)[C@@H](O)[C@@H]3NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@@H](NC2=O)c2cc(cc(O)c2Cl)Oc2cc1ccc2O)c1ccc(O)c(c1)-c1c(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc(O)cc1[C@@H](C(=O)NCCCN(C)C)NC3=O,CHEMBL3301669
TOBRAMYCIN,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O,CHEMBL1747
OLANZAPINE PAMOATE,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1.O.O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O,CHEMBL3989694
HEXOBARBITAL,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,CHEMBL7728
DEXTROAMPHETAMINE,C[C@H](N)Cc1ccccc1,CHEMBL612
ACIPIMOX,Cc1cnc(C(=O)O)c[n+]1[O-],CHEMBL345714
